time,droneId,x,y,vx,vy
0.01,0,10.0018,10.002,0.18,0.2
0.01,1,89.999,10.002,-0.1,0.2
0.01,2,10.002,89.999,0.2,-0.1
0.01,3,89.9988,89.9986,-0.12,-0.14
0.02,0,10.0054,10.006,0.357833,0.397592
0.02,1,89.997,10.006,-0.198796,0.397592
0.02,2,10.006,89.997,0.397592,-0.198796
0.02,3,89.9964,89.9958,-0.238555,-0.278314
0.03,0,10.0107,10.0119,0.533517,0.592797
0.03,1,89.994,10.0119,-0.296398,0.592797
0.03,2,10.0119,89.994,0.592797,-0.296398
0.03,3,89.9929,89.9917,-0.355678,-0.414958
0.04,0,10.0178,10.0198,0.707072,0.785636
0.04,1,89.9901,10.0198,-0.392818,0.785636
0.04,2,10.0198,89.9901,0.785636,-0.392818
0.04,3,89.9881,89.9862,-0.471381,-0.549945
0.05,0,10.0266,10.0295,0.878516,0.976129
0.05,1,89.9852,10.0295,-0.488065,0.976129
0.05,2,10.0295,89.9852,0.976129,-0.488065
0.05,3,89.9823,89.9793,-0.585677,-0.68329
0.06,0,10.037,10.0412,1.04787,1.1643
0.06,1,89.9794,10.0412,-0.582149,1.1643
0.06,2,10.0412,89.9794,1.1643,-0.582149
0.06,3,89.9753,89.9712,-0.698579,-0.815008
0.07,0,10.0492,10.0547,1.21515,1.35016
0.07,1,89.9727,10.0547,-0.675081,1.35016
0.07,2,10.0547,89.9727,1.35016,-0.675081
0.07,3,89.9672,89.9617,-0.810097,-0.945113
0.08,0,10.063,10.07,1.38037,1.53374
0.08,1,89.965,10.07,-0.76687,1.53374
0.08,2,10.07,89.965,1.53374,-0.76687
0.08,3,89.958,89.951,-0.920244,-1.07362
0.09,0,10.0784,10.0872,1.54355,1.71506
0.09,1,89.9564,10.0872,-0.857528,1.71506
0.09,2,10.0872,89.9564,1.71506,-0.857528
0.09,3,89.9477,89.939,-1.02903,-1.20054
0.1,0,10.0955,10.1061,1.70471,1.89413
0.1,1,89.947,10.1061,-0.947063,1.89413
0.1,2,10.1061,89.947,1.89413,-0.947063
0.1,3,89.9363,89.9257,-1.13648,-1.32589
0.11,0,10.1141,10.1268,1.86388,2.07097
0.11,1,89.9366,10.1268,-1.03549,2.07097
0.11,2,10.1268,89.9366,2.07097,-1.03549
0.11,3,89.9239,89.9112,-1.24258,-1.44968
0.12,0,10.1343,10.1493,2.02105,2.24561
0.12,1,89.9254,10.1493,-1.12281,2.24561
0.12,2,10.1493,89.9254,2.24561,-1.12281
0.12,3,89.9104,89.8955,-1.34737,-1.57193
0.13,0,10.1561,10.1734,2.17626,2.41807
0.13,1,89.9133,10.1734,-1.20903,2.41807
0.13,2,10.1734,89.9133,2.41807,-1.20903
0.13,3,89.8959,89.8786,-1.45084,-1.69265
0.14,0,10.1794,10.1993,2.32952,2.58836
0.14,1,89.9003,10.1993,-1.29418,2.58836
0.14,2,10.1993,89.9003,2.58836,-1.29418
0.14,3,89.8804,89.8605,-1.55302,-1.81185
0.15,0,10.2042,10.2269,2.48085,2.7565
0.15,1,89.8866,10.2269,-1.37825,2.7565
0.15,2,10.2269,89.8866,2.7565,-1.37825
0.15,3,89.8639,89.8412,-1.6539,-1.92955
0.16,0,10.2305,10.2561,2.63026,2.92252
0.16,1,89.8719,10.2561,-1.46126,2.92252
0.16,2,10.2561,89.8719,2.92252,-1.46126
0.16,3,89.8463,89.8207,-1.75351,-2.04576
0.17,0,10.2583,10.287,2.77778,3.08642
0.17,1,89.8565,10.287,-1.54321,3.08642
0.17,2,10.287,89.8565,3.08642,-1.54321
0.17,3,89.8278,89.7991,-1.85185,-2.16049
0.18,0,10.2875,10.3195,2.92341,3.24824
0.18,1,89.8403,10.3195,-1.62412,3.24824
0.18,2,10.3195,89.8403,3.24824,-1.62412
0.18,3,89.8083,89.7764,-1.94894,-2.27377
0.19,0,10.3182,10.3535,3.06718,3.40798
0.19,1,89.8232,10.3535,-1.70399,3.40798
0.19,2,10.3535,89.8232,3.40798,-1.70399
